Feature,SHAP_Value
trx_count_30d,0.6783265048369416
trx_count_7d,0.6298275635046385
days_since_last_tx,0.338066485501397
trx_count,0.2876009186645092
trx_count_m3,0.23502811124097167
active_days,0.045065682253852074
trx_count_m2,0.029395251495020237
total_amt,0.024394919735574918
trx_count_m1,0.02282012636202503
trx_trend,0.013424698493745594
trx_per_active_day,0.010236556263534567
inactive_last_7d,0.007608276895444544
ACCOUNT_AGE_DAYS,0.0055734721520901715
bal_end_of_march,0.004647987338469122
bal_cv,0.003886815355668047
bal_std,0.0036263862373641445
avg_amt,0.003354358069049138
trx_type_MerchantPay,0.003205710112416071
bal_mar_mean,0.003105154346689393
trx_type_CashOut_ratio,0.0030823631553791274
trx_type_total,0.002783288627947875
bal_max,0.0023412238837886056
bal_trend,0.002023062278641396
bal_mean,0.002005142192280314
active_in_march,0.001982589232502365
trx_type_MerchantPay_ratio,0.0019442391288647801
bal_jan_mean,0.0018371778771905727
trx_type_P2P_ratio,0.0017793623090458911
bal_min,0.0016631457124139304
trx_type_BillPay,0.001430363382295668
trx_type_BillPay_ratio,0.001339442208858262
trx_type_CashOut,0.0012537875116542497
trx_type_CashIn_ratio,0.0010191812668923466
trx_type_P2P,0.0009719981571115991
trx_type_CashIn,0.0008048566503720272
GENDER_Male,0.0004789640150652904
REGION_Dhaka,0.00040210124713214773
REGION_Chattogram,0.0002807871443449018
GENDER_Female,0.00027010990583039175
REGION_Khulna,0.00022438804804884662
REGION_Barishal,0.00012653691915222583
REGION_Mymensingh,0.00011351562985578507
REGION_Rajshahi,8.846704636971601e-05
zero_balance_end,5.083811723680284e-05
REGION_Rangpur,4.763913876740301e-05
REGION_Sylhet,3.470356290042107e-05
inactive_last_30d,0.0
GENDER_Other,0.0
ACCOUNT_TYPE_Customer,0.0
